GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
oswitch-app,com.ocularminds.oswitch.app.model,Transactions.new Outcome() {...},23,0,2,0,5,0,3,0,2,0
oswitch-app,com.ocularminds.oswitch.app.model,Transactions.new Outcome() {...},16,0,2,0,4,0,3,0,2,0
oswitch-app,com.ocularminds.oswitch.app.model,Transactions.new Outcome() {...},16,0,2,0,4,0,3,0,2,0
oswitch-app,com.ocularminds.oswitch.app.model,Cardless,234,0,0,0,62,0,7,0,7,0
oswitch-app,com.ocularminds.oswitch.app.model,Transaction,35,0,0,0,11,0,4,0,4,0
oswitch-app,com.ocularminds.oswitch.app.model,Transaction.Channel,58,0,0,0,2,0,4,0,4,0
oswitch-app,com.ocularminds.oswitch.app.model,Preferences.new Outcome() {...},23,0,2,0,5,0,3,0,2,0
oswitch-app,com.ocularminds.oswitch.app.model,Preferences.new Outcome() {...},16,0,2,0,4,0,3,0,2,0
oswitch-app,com.ocularminds.oswitch.app.model,Cardlex,65,0,0,0,17,0,12,0,12,0
oswitch-app,com.ocularminds.oswitch.app.model,Preferences.new Outcome() {...},16,0,2,0,4,0,3,0,2,0
oswitch-app,com.ocularminds.oswitch.app.model,Cardless.new Outcome() {...},23,0,2,0,5,0,3,0,2,0
oswitch-app,com.ocularminds.oswitch.app.model,Preferences,243,0,0,0,66,0,8,0,8,0
oswitch-app,com.ocularminds.oswitch.app.model,Transactions,288,0,0,0,78,0,7,0,7,0
oswitch-app,com.ocularminds.oswitch.app.model,Preference,65,0,0,0,17,0,12,0,12,0
oswitch-app,com.ocularminds.oswitch.app.model,Cardless.new Outcome() {...},16,0,2,0,4,0,3,0,2,0
oswitch-app,com.ocularminds.oswitch.app.model,Cardless.new Outcome() {...},16,0,2,0,4,0,3,0,2,0
oswitch-app,com.ocularminds.oswitch.app,OsService,57,0,0,0,12,0,7,0,7,0
oswitch-app,com.ocularminds.oswitch.app,OsCore,152,0,0,0,35,0,3,0,3,0
oswitch-app,com.ocularminds.oswitch.app,ProcessorType,48,0,0,0,4,0,4,0,4,0
oswitch-app,com.ocularminds.oswitch.app,BalanceProcessor,181,0,8,0,35,0,6,0,2,0
oswitch-app,com.ocularminds.oswitch.app,CoreProcessor,10,0,0,0,4,0,3,0,3,0
oswitch-app,com.ocularminds.oswitch.app,ProcessorType.new ProcessorType() {...},13,0,0,0,2,0,2,0,2,0
oswitch-app,com.ocularminds.oswitch.app,Processor,12,0,0,0,3,0,3,0,3,0
oswitch-app,com.ocularminds.oswitch.app,ProcessorType.new ProcessorType() {...},8,0,0,0,2,0,2,0,2,0
oswitch-app,com.ocularminds.oswitch.app,ProcessorType.new ProcessorType() {...},8,0,0,0,2,0,2,0,2,0
oswitch-app,com.ocularminds.oswitch.app.jdbc,JdbcSource,253,0,8,0,76,0,18,0,14,0
